x;y;
260;1;
261;1;
262;1;
263;1;
264;1;
265;1;
266;1;
267;1;
268;1;
269;1;
270;1;
271;1;
272;1;
273;1;
274;1;
275;1;
276;1;
277;1;
278;1;
279;1;
280;1;
281;1;
282;1;
283;1;
284;1;
285;1;
286;1;
287;1;
288;1;
289;1;
290;1;
291;1;
292;1;
293;1;
294;1;
295;1;
296;1;
297;1;
298;1;
299;1;
300;1;
301;1;
302;1;
303;1;
304;1;
305;1;
306;1;
307;1;
308;1;
309;1;
310;1;
311;1;
312;1;
313;1;
314;1;
315;1;
316;1;
317;1;
318;1;
319;1;
320;1;
321;1;
322;1;
323;1;
324;1;
325;1;
326;1;
327;1;
328;1;
329;1;
330;1;
331;1;
332;1;
333;1;
334;1;
335;1;
336;1;
337;1;
338;1;
339;1;
340;1;
341;1;
342;1;
343;1;
344;1;
345;1;
346;1;
347;1;
348;1;
349;1;
350;1;
351;1;
352;1;
353;1;
;;
